FSS2	7m 08ch	35m 55ch	EA1380
FSS3	35m 55ch	39m 40ch	EA1380
FTL	0m 00ch	0m 07ch	LN3216
FTL	0m 07ch	0m 39ch	SO280
FUR	126m 30ch	129m 55ch	SW166
FWC	4m 67ch	5m 41ch	GW451
FWR2	151m 69ch	153m 31ch	LN235
GAE	159m 32ch	160m 24ch	GW770
GAW1	0m 24ch	0m 55ch	GW875
GAW2	0m 00ch	5m 15ch	GW875
GBK	1m 19ch	23m 44ch	SC031
GDW	0m 01ch	1m 05ch	NW5019
GEC	8m 44ch	8m 70ch	GW117
GFB	2m 57ch	3m 28ch	EA1400
GGE	0m 00ch	0m 41ch	SC165
GHE	95m 64ch	97m 06ch	SC105
GHL	0m 00ch	0m 56ch	SC119
GJC	21m 03ch	27m 41ch	NW7017
GJH	0m 24ch	3m 02ch	NW4029
GLA	0m 00ch	17m 37ch	NW3019
GLT	0m 32ch	1m 26ch	LN666
GMH	0m 00ch	3m 67ch	SC117
GNN	0m 00ch	54m 58ch	SC036
GNQ1	0m 00ch	2m 04ch	GW736
GNQ2	0m 00ch	2m 25ch	GW736
GNQ3	2m 36ch	2m 51ch	GW736
GNQ4	18m 01ch	21m 67ch	GW736
GNT	10m 02ch	14m 59ch	GW915
GOB	0m 00ch	2m 35ch	GW970
GOJ	-0m 04ch	0m 58ch	EA1370
GOU1	6m 34ch	6m 56ch	SC065
GOU2	107m 70ch	126m 58ch	SC065
GRD	0m 00ch	1m 11ch	LN859
GRE	2m 55ch	2m 79ch	EA1180
GRS1	110m 12ch	112m 00ch	LN185
GRS2	112m 00ch	137m 06ch	LN185
GRS3	106m 70ch	122m 22ch	LN185
GRS4	0m 26ch	9m 17ch	LN185
GSG	0m 00ch	0m 37ch	NW1011
GSJ1	3m 64ch	4m 08ch	MD440
GSJ2	133m 32ch	141m 06ch	MD435
GSM1	74m 00ch	90m 25ch	LN3601
GSM2	90m 25ch	105m 70ch	LN3615
GSM3	103m 77ch	113m 36ch	LN3615
GSM4	105m 70ch	107m 20ch	LN3620
GSW	33m 44ch	116m 13ch	SC031
GSW	115m 40ch	116m 13ch	NW4031
GTW1	30m 35ch	35m 50ch	SW265
GTW2	48m 34ch	61m 72ch	SW265
GUA	159m 10ch	161m 61ch	MD730
GUE2	0m 00ch	3m 41ch	LN926
GWA	14m 59ch	16m 67ch	GW915
GXO	0m 00ch	0m 73ch	NW4039
HAC	11m 20ch	14m 21ch	LN760
HAG	115m 70ch	118m 05ch	SW165
HAH1	0m 00ch	0m 75ch	LN652
HAH2	63m 34ch	64m 42ch	LN652
HAJ	0m 52ch	12m 61ch	NW5015
HAM	13m 05ch	14m 76ch	SW195
HAN	0m 00ch	0m 36ch	GW176
HAU	0m 32ch	1m 45ch	LN741
HAY1	1m 50ch	18m 60ch	LN838
HAY2	18m 60ch	20m 38ch	LN838
HBL	0m 00ch	1m 30ch	NW4013
HBS	0m 25ch	50m 43ch	LN914
HCD	0m 00ch	0m 62ch	LN818
HCM2	4m 01ch	8m 14ch	NW1003
HCM3	0m 00ch	0m 25ch	NW1003
HCN	0m 16ch	0m 72ch	NW3037
HDB	5m 07ch	28m 15ch	LN120
HDC	0m 00ch	2m 11ch	GW730
HDR	7m 04ch	31m 34ch	SO310
HDT	3m 04ch	9m 20ch	EA1170
HDT	9m 20ch	14m 28ch	EA1190
HDY	0m 00ch	0m 46ch	GW897
HEB	18m 38ch	24m 19ch	EA1210
HEG	21m 67ch	22m 10ch	NW3033
HEN	31m 01ch	35m 50ch	GW187
HGC	2m 35ch	2m 62ch	NW9001
HGG1	21m 35ch	30m 26ch	SO530
HGL1	150m 61ch	158m 38ch	SC193
HGL2	7m 02ch	118m 03ch	SC193
HHH	0m 21ch	4m 32ch	SO280
HHJ	0m 00ch	8m 66ch	NW3013
HHT	4m 06ch	5m 15ch	SO690
